Hauptprobenummer,,Bezeichnung,,Probe-Entnahmeart,,Probenahme-Beginn Datum,,Probenahme-Beginn Zeit,,Probenahme-Ende Datum,,Probenahme-Ende Zeit,,Umweltbereich,,Messprogrammgruppe,,Entnahmestelle,,Herkunftsstaat,,Methode,,Pruefmerkmal,,Ergebnis,,Einheit,
201400340,,Grundwasser,,Einzelprobe,,28.08.2014,,09:30,,28.08.2014,,09:30,,Grundwasser (nicht zur Trinkwassergewinnung),,IMIS Routinemessprogramm,,Notwasserbrunnen Lohkampstraße 4,4919897,Deutschland,,Gammaspektrometrie (flüssig),,Cobalt-58 Co-58,,n.n.,,Bq/l,
201400340,,Grundwasser,,Einzelprobe,,28.08.2014,,09:30,,28.08.2014,,09:30,,Grundwasser (nicht zur Trinkwassergewinnung),,IMIS Routinemessprogramm,,Notwasserbrunnen Lohkampstraße 4,4919897,Deutschland,,Alpha-Uran (flüssig),,Uran-234 U-234,,"7,503E-05",,Bq/l,
201400340,,Grundwasser,,Einzelprobe,,28.08.2014,,09:30,,28.08.2014,,09:30,,Grundwasser (nicht zur Trinkwassergewinnung),,IMIS Routinemessprogramm,,Notwasserbrunnen Lohkampstraße 4,4919897,Deutschland,,Gammaspektrometrie (flüssig),,Cobalt-57 Co-57,,n.n.,,Bq/l,
201400340,,Grundwasser,,Einzelprobe,,28.08.2014,,09:30,,28.08.2014,,09:30,,Grundwasser (nicht zur Trinkwassergewinnung),,IMIS Routinemessprogramm,,Notwasserbrunnen Lohkampstraße 4,4919897,Deutschland,,Alpha-Uran (flüssig),,Uran-238 U-238,,"3,366E-05",,Bq/l,
201400340,,Grundwasser,,Einzelprobe,,28.08.2014,,09:30,,28.08.2014,,09:30,,Grundwasser (nicht zur Trinkwassergewinnung),,IMIS Routinemessprogramm,,Notwasserbrunnen Lohkampstraße 4,4919897,Deutschland,,Gammaspektrometrie (flüssig),,Chrom-51 Cr-51,,n.n.,,Bq/l,
201400340,,Grundwasser,,Einzelprobe,,28.08.2014,,09:30,,28.08.2014,,09:30,,Grundwasser (nicht zur Trinkwassergewinnung),,IMIS Routinemessprogramm,,Notwasserbrunnen Lohkampstraße 4,4919897,Deutschland,,Gammaspektrometrie (flüssig),,Zirkon-95 Zr-95,,n.n.,,Bq/l,
201400340,,Grundwasser,,Einzelprobe,,28.08.2014,,09:30,,28.08.2014,,09:30,,Grundwasser (nicht zur Trinkwassergewinnung),,IMIS Routinemessprogramm,,Notwasserbrunnen Lohkampstraße 4,4919897,Deutschland,,Gammaspektrometrie (flüssig),,Cer-139 Ce-139,,n.n.,,Bq/l,
201400340,,Grundwasser,,Einzelprobe,,28.08.2014,,09:30,,28.08.2014,,09:30,,Grundwasser (nicht zur Trinkwassergewinnung),,IMIS Routinemessprogramm,,Notwasserbrunnen Lohkampstraße 4,4919897,Deutschland,,Gammaspektrometrie (flüssig),,Ruthenium-106 Ru-106,,n.n.,,Bq/l,
201400340,,Grundwasser,,Einzelprobe,,28.08.2014,,09:30,,28.08.2014,,09:30,,Grundwasser (nicht zur Trinkwassergewinnung),,IMIS Routinemessprogramm,,Notwasserbrunnen Lohkampstraße 4,4919897,Deutschland,,Alpha-Plutonium (flüssig),,Messzeit,,900000,,s,
201400340,,Grundwasser,,Einzelprobe,,28.08.2014,,09:30,,28.08.2014,,09:30,,Grundwasser (nicht zur Trinkwassergewinnung),,IMIS Routinemessprogramm,,Notwasserbrunnen Lohkampstraße 4,4919897,Deutschland,,Gammaspektrometrie (flüssig),,Cer-144 Ce-144,,n.n.,,Bq/l,
