Indicadores municipales de sostenibilidad: Índice de envejecimiento: Población de 65 y más años (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48034,,Ermua,Ermua Bizkaia Kingdom of Spain http://sws.geonames.org/6362379/,"23,65",,"23,35",,"22,75",,"22,04",,"20,96",,"20,39",,"19,72",,"18,91",,"17,94",,"17,11",,"16,45",,"15,79",,"14,74",,"14,20",,"13,53",
20010,,Anoeta,Anoeta Gipuzkoa Kingdom of Spain http://sws.geonames.org/6358101/,"15,62",,"14,92",,"14,91",,"14,90",,"14,48",,"14,59",,"14,57",,"14,43",,"13,29",,"12,98",,"12,14",,"11,59",,"11,32",,"11,54",,"11,59",
20700,,Urola-Kostaldea / Urola Costa,,"18,88",,"18,71",,"18,43",,"18,04",,"17,56",,"17,18",,"16,92",,"16,57",,"16,21",,"15,99",,"16,05",,"15,99",,"15,93",,"16,00",,"16,05",
01054,,Urkabustaiz,Urkabustaiz Araba / Álava Kingdom of Spain http://sws.geonames.org/6355281/,"13,38",,"13,14",,"13,31",,"13,69",,"13,62",,"13,19",,"13,58",,"14,32",,"14,63",,"15,01",,"15,43",,"17,08",,"17,92",,"19,52",,"20,39",
01011,,Baños de Ebro/Mañueta,,"27,45",,"26,30",,"26,37",,"26,15",,"27,86",,"28,08",,"27,16",,"27,96",,"27,03",,"24,09",,"24,93",,"24,52",,"26,16",,"26,49",,"26,38",
20042,,Ibarra,Ibarra Amorebieta-Etxano Kingdom of Spain http://sws.geonames.org/3120483/,"22,57",,"21,81",,"20,80",,"20,39",,"19,28",,"18,41",,"17,90",,"16,73",,"16,29",,"15,64",,"15,33",,"14,89",,"14,17",,"13,52",,"13,33",
48095,,Zaldibar,Zaldibar Bizkaia Kingdom of Spain http://sws.geonames.org/6362434/,"19,47",,"19,50",,"19,10",,"18,91",,"18,28",,"17,90",,"17,68",,"17,43",,"17,32",,"17,47",,"17,76",,"17,52",,"17,29",,"17,28",,"17,47",
01052,,Samaniego,Samaniego Araba / Álava Kingdom of Spain http://sws.geonames.org/6355279/,"29,41",,"24,75",,"24,83",,"23,79",,"23,01",,"23,26",,"24,40",,"25,23",,"22,88",,"22,19",,"24,28",,"26,30",,"27,74",,"26,65",,"28,08",
01021,,Elburgo/Burgelu,,"12,03",,"11,27",,"9,70",,"10,26",,"8,59",,"8,43",,"8,51",,"8,32",,"8,50",,"10,08",,"10,31",,"10,62",,"11,37",,"11,92",,"13,56",
01059,,Vitoria-Gasteiz,Vitoria-Gasteiz Railway Station Gasteiz / Vitoria Kingdom of Spain http://sws.geonames.org/8435704/,"20,25",,"19,96",,"19,58",,"19,11",,"18,54",,"17,91",,"17,55",,"17,13",,"16,68",,"16,34",,"16,18",,"15,98",,"15,61",,"15,57",,"15,40",
